,0,1,2
403,77.97,198.41,2.0
404,175.4,190.78,2.0
405,127.18,77.22,1.0
406,18.97,183.44,2.0
407,35.55,187.48,2.0
408,74.5,184.57,2.0
409,188.46,170.67,2.0
410,97.08,78.84,1.0
411,23.94,158.41,2.0
412,39.45,168.97,2.0
413,81.43,167.19,2.0
414,175.37,163.12,2.0
415,90.1,76.33,1.0
416,15.67,172.29,2.0
417,40.84,157.72,2.0
418,77.83,160.29,2.0
419,155.14,160.47,2.0
420,139.62,62.81,1.0
421,27.85,135.44,2.0
422,49.22,141.14,2.0
423,79.35,151.66,2.0
424,180.42,145.31,2.0
425,75.73,106.28,1.0
426,88.83,126.96,2.0
427,179.93,126.43,2.0
428,390.57,123.02,2.0
429,727.2,125.99,2.0
430,48.78,112.75,1.0
431,91.64,115.13,2.0
432,185.91,114.58,2.0
433,359.49,115.88,2.0
434,734.1,115.08,2.0
435,68.46,93.97,1.0
436,99.2,104.63,2.0
437,205.49,103.41,2.0
438,491.97,97.39,2.0
439,708.33,108.67,2.0
440,51.75,97.42,1.0
441,95.49,100.07,2.0
442,170.47,103.93,2.0
443,385.28,99.78,2.0
444,706.59,102.7,2.0
445,63.43,86.69,2.0
446,90.6,96.98,2.0
447,193.55,94.87,2.0
448,437.46,91.08,2.0
449,794.38,94.06,2.0
450,22.42,135.06,1.0
451,35.26,146.33,1.0
452,36.1,182.91,2.0
453,85.41,172.96,2.0
454,146.98,181.84,2.0
455,19.14,130.45,1.0
456,56.93,114.28,1.0
457,43.89,157.03,2.0
458,86.93,157.54,2.0
459,143.72,167.86,2.0
460,26.85,108.74,1.0
461,59.5,105.08,1.0
462,50.37,139.96,2.0
463,73.88,155.2,2.0
464,165.66,149.39,2.0
465,33.04,95.82,1.0
466,70.38,93.83,1.0
467,55.37,128.06,2.0
468,83.84,140.51,2.0
469,169.23,140.08,2.0
470,28.01,96.42,1.0
471,59.65,94.42,1.0
472,47.17,128.64,2.0
473,77.44,137.39,2.0
474,158.74,136.27,2.0
475,14.9,164.72,1.0
476,32.08,160.71,1.0
477,27.82,212.34,2.0
478,42.96,231.45,2.0
479,89.26,228.52,2.0
