,0,1,2,3,4,5,6,7
268,125.0,1.0,4.0,3.0,2.5,3.5,19.0,0.528768
269,125.0,1.0,4.0,3.0,2.5,3.5,19.0,1.057536
270,125.0,1.0,4.0,3.0,2.5,3.5,22.0,0.066096
271,125.0,1.0,4.0,3.0,2.5,3.5,22.0,0.132192
272,125.0,1.0,4.0,3.0,2.5,3.5,22.0,0.264384
273,125.0,1.0,4.0,3.0,2.5,3.5,22.0,0.528768
274,125.0,1.0,4.0,3.0,2.5,3.5,22.0,1.057536
275,125.0,1.5,5.0,1.0,3.0,4.0,10.0,0.066096
276,125.0,1.5,5.0,1.0,3.0,4.0,10.0,0.132192
277,125.0,1.5,5.0,1.0,3.0,4.0,10.0,0.264384
278,125.0,1.5,5.0,1.0,3.0,4.0,10.0,0.528768
279,125.0,1.5,5.0,1.0,3.0,4.0,10.0,1.057536
280,125.0,1.5,5.0,1.0,3.0,4.0,13.0,0.066096
281,125.0,1.5,5.0,1.0,3.0,4.0,13.0,0.132192
282,125.0,1.5,5.0,1.0,3.0,4.0,13.0,0.264384
283,125.0,1.5,5.0,1.0,3.0,4.0,13.0,0.528768
284,125.0,1.5,5.0,1.0,3.0,4.0,13.0,1.057536
285,125.0,1.5,5.0,1.0,3.0,4.0,16.0,0.066096
286,125.0,1.5,5.0,1.0,3.0,4.0,16.0,0.132192
287,125.0,1.5,5.0,1.0,3.0,4.0,16.0,0.264384
288,125.0,1.5,5.0,1.0,3.0,4.0,16.0,0.528768
289,125.0,1.5,5.0,1.0,3.0,4.0,16.0,1.057536
290,125.0,1.5,5.0,1.0,3.0,4.0,19.0,0.066096
291,125.0,1.5,5.0,1.0,3.0,4.0,19.0,0.132192
292,125.0,1.5,5.0,1.0,3.0,4.0,19.0,0.264384
293,125.0,1.5,5.0,1.0,3.0,4.0,19.0,0.528768
294,125.0,1.5,5.0,1.0,3.0,4.0,19.0,1.057536
295,125.0,1.5,5.0,1.0,3.0,4.0,22.0,0.066096
296,125.0,1.5,5.0,1.0,3.0,4.0,22.0,0.132192
297,125.0,1.5,5.0,1.0,3.0,4.0,22.0,0.264384
298,125.0,1.5,5.0,1.0,3.0,4.0,22.0,0.528768
299,125.0,1.5,5.0,1.0,3.0,4.0,22.0,1.057536
300,125.0,2.0,6.0,1.5,3.5,2.0,10.0,0.066096
301,125.0,2.0,6.0,1.5,3.5,2.0,10.0,0.132192
302,125.0,2.0,6.0,1.5,3.5,2.0,10.0,0.264384
303,125.0,2.0,6.0,1.5,3.5,2.0,10.0,0.528768
304,125.0,2.0,6.0,1.5,3.5,2.0,10.0,1.057536
305,125.0,2.0,6.0,1.5,3.5,2.0,13.0,0.066096
306,125.0,2.0,6.0,1.5,3.5,2.0,13.0,0.132192
307,125.0,2.0,6.0,1.5,3.5,2.0,13.0,0.264384
308,125.0,2.0,6.0,1.5,3.5,2.0,13.0,0.528768
309,125.0,2.0,6.0,1.5,3.5,2.0,13.0,1.057536
310,125.0,2.0,6.0,1.5,3.5,2.0,16.0,0.066096
311,125.0,2.0,6.0,1.5,3.5,2.0,16.0,0.132192
312,125.0,2.0,6.0,1.5,3.5,2.0,16.0,0.264384
313,125.0,2.0,6.0,1.5,3.5,2.0,16.0,0.528768
314,125.0,2.0,6.0,1.5,3.5,2.0,16.0,1.057536
315,125.0,2.0,6.0,1.5,3.5,2.0,19.0,0.066096
316,125.0,2.0,6.0,1.5,3.5,2.0,19.0,0.132192
317,125.0,2.0,6.0,1.5,3.5,2.0,19.0,0.264384
318,125.0,2.0,6.0,1.5,3.5,2.0,19.0,0.528768
